ID,Nombre completo,Fecha de nacimiento,Dirección,Localidad y Código postal,Teléfono,Correo electrónico,Fecha de alta,Grupo de clientes,Edad
C0079,EMPERATRIZ SABINA PASTOR PEDRERO,1974-02-03,SHEFFIELD,S39 0KU,(504) 719-6268,ILIKERED@MAC.COM,2020-12-20 10:46:17,E,50
C0080,XIMENA JURADO-MATA,1994-04-09,92 PARK AVENUE,WOLVERHAMPTON,(295) 508-7243,TLINDEN@LIVE.COM,2009-01-04 12:13:00,I,30
C0081,EUGENIO ARANDA FALCÓN,1998-04-05,WV82 8AJ,53 KING STREET,(940) 762-9096,CITIZENL@YAHOO.CA,2014-01-04 00:11:10,E,26
C0082,FELICIA DEL PALOMO,1985-08-14,COVENTRY,CV96 4TX,(370) 597-5412,PAJAS@YAHOO.COM,2013-05-09 08:24:38,I,39
C0083,ABEL URIBE CERRO,1990-06-16,58 HIGHFIELD ROAD,BLACKBURN,(996) 458-0103,BRITISH@ME.COM,2010-03-14 01:32:33,I,34
C0084,ANDRÉS FELIPE PRADO-INFANTE,1993-03-22,BB91 5XM,20 WEST STREET,(223) 934-8344,CHAFFAR@AOL.COM,2012-01-25 11:12:11,I,31
C0085,JORDI DE PEREA,1997-01-02,OUTER HEBRIDES,HS33 0PY,(611) 728-9360,PARKES@HOTMAIL.COM,2017-07-22 03:38:24,I,27
C0086,RICARDA ESCRIVÁ CERVERA,1971-02-27,82 WINDSOR ROAD,PERTH,(446) 436-2416,SJAVA@YAHOO.CA,2014-07-31 21:41:36,I,53
C0087,SOCORRO MORALES GUERRERO,1986-06-25,PH82 4OY,75 GRANGE ROAD,(205) 877-2303,JIPSEN@OUTLOOK.COM,2016-09-17 02:59:55,I,38
C0088,ASUNCIÓN ÁGATA GUTIERREZ MORERA,1974-04-29,WESTERN CENTRAL LONDON,WC52 6DL,(442) 997-2681,LAHVAK@OPTONLINE.NET,2010-05-10 14:26:37,I,50
C0089,JESÚS FRÍAS IBÁÑEZ,1990-07-06,10 KINGS ROAD,WORCESTER,(200) 695-5178,MLEWAN@YAHOO.COM,2016-09-11 03:59:03,E,34
C0090,TEODOSIO NIÑO,1982-07-30,WR45 4AU,80 THE GROVE,(892) 339-6497,ZWOOD@VERIZON.NET,2010-11-08 21:45:33,I,42
C0091,SUSANA VIZCAÍNO NUÑEZ,1995-01-16,MANCHESTER,M78 7CQ,(719) 593-5606,KASSIESA@HOTMAIL.COM,2015-12-05 20:48:07,E,29
C0092,ABILIO CUÉLLAR ROVIRA,1993-07-17,472 MILL LANE,READING,(719) 881-4363,RNEWMAN@HOTMAIL.COM,2005-03-06 18:05:30,I,31
C0093,ADORA ALBERTO REBOLLO,1970-09-10,RG6 1SR,55 QUEENS ROAD,(346) 442-6581,JAXWEB@GMAIL.COM,2006-11-18 21:50:34,I,54
C0094,PRIMITIVO JAÉN GARCÉS,1995-02-13,TORQUAY,TQ16 9DL,(690) 340-6090,EIDAC@AOL.COM,2016-01-24 02:25:16,E,29
C0095,DELFINA DONOSO,1996-04-11,80 CHESTER ROAD,HARROW,(722) 742-7576,LISHOY@GMAIL.COM,2005-06-24 09:14:07,I,28
C0096,JULIO FUSTER VIGIL,1995-03-16,HA62 8DU,320 VICTORIA ROAD,(449) 524-6231,DELPINO@AOL.COM,2009-08-23 08:14:47,I,29
C0097,CINTIA CARBALLO-BAYONA,1987-09-03,PAISLEY,PA13 7KA,(703) 723-3874,CATALOG@ATT.NET,2016-01-01 11:26:35,E,37
C0098,FORTUNATA PASCUAL RIBAS,1988-01-06,304 SPRINGFIELD ROAD,BRADFORD,(435) 239-5138,HOYER@HOTMAIL.COM,2021-03-03 02:21:44,I,36
C0099,LILIA FIGUEROLA BAUZÀ,1977-08-26,BD84 2HP,51 MAIN STREET,(580) 240-1515,ESOKULLU@LIVE.COM,2009-01-02 11:23:40,I,47
C0100,PILI MORELL-OLIVER,1973-08-06,CHESTER,CH66 8CW,(650) 385-0635,HEIDRICH@HOTMAIL.COM,2007-09-08 03:45:09,I,51
C0101,ESTRELLA PEÑAS BENITO,1982-08-26,28 LONDON ROAD,HULL,(243) 906-5992,KOHLIS@LIVE.COM,2015-06-23 15:51:09,E,42
C0102,MARÍA ÁNGELES ROURA CARNERO,1987-07-05,HU74 4ER,44 PARK ROAD,(209) 297-3958,CORRADA@ATT.NET,2011-08-19 20:54:12,E,37
C0103,VIOLETA VIOLETA LAMAS SARABIA,1990-01-11,GUILDFORD,GU45 5EZ,(966) 338-9815,CHAFFAR@SBCGLOBAL.NET,2013-09-18 18:07:01,I,34
C0104,RUBEN MARQUEZ BELDA,1981-09-22,597 NEW STREET,DURHAM,(638) 925-5729,JOSEM@HOTMAIL.COM,2012-02-08 02:10:10,I,43
C0105,MANOLA CRIADO,1985-07-08,DH29 2KQ,69 THE DRIVE,(681) 914-0083,JSMITH@MAC.COM,2013-07-17 11:05:38,I,39
C0106,RITA ASENSIO SALGADO,1990-02-02,DUMFRIES,DG73 0TH,(354) 628-2294,HMBRAND@HOTMAIL.COM,2015-02-27 04:17:50,E,34
C0107,DANIELA CABELLO VALLÉS,1982-10-26,41 VICTORIA STREET,LEICESTER,(888) 289-8104,CORRADA@GMAIL.COM,2013-10-18 04:45:32,I,42
C0108,NICOLASA AURELIA LASA PUIG,1979-03-31,LE96 5AZ,45 STATION ROAD,(393) 626-4948,BRYAM@ICLOUD.COM,2011-03-23 13:05:33,E,45
C0109,JONATAN TRILLO LARRAÑAGA,1991-05-05,CHELMSFORD,CM60 7BF,(887) 262-0302,GMCGATH@HOTMAIL.COM,2019-07-05 19:52:10,I,33
C0110,JOSE FRANCISCO ALVARADO POMBO,1999-06-17,48 MANOR ROAD,LIVERPOOL,(462) 566-8729,FUKUCHI@YAHOO.COM,2020-02-28 15:34:36,E,25
C0111,SAMANTA CASANDRA BORRELL MAESTRE,1970-01-23,L52 8LM,217 PARK LANE,(661) 929-3370,JSHEARER@MAC.COM,2018-12-07 09:47:09,I,54
C0112,EMILIA MARÍA LUISA LLUCH VIVES,1980-06-22,SUNDERLAND,SR69 9RW,(859) 862-4703,PHISH@LIVE.COM,2014-07-12 02:58:48,E,44
C0113,ESTEBAN GUILLÉN MENA,1974-07-23,33 YORK ROAD,HUDDERSFIELD,(415) 981-0636,MANUALS@AOL.COM,2011-06-22 18:01:18,I,50
C0114,JOSUÉ ROCHA JUAN,1993-01-31,HD3 3KR,44 ALEXANDER ROAD,(563) 420-8118,MEDER@OUTLOOK.COM,2008-04-21 20:01:47,E,31
C0115,ENCARNACIÓN ALEMÁN-PRATS,1995-01-31,YORK,YO59 8CP,(462) 763-2017,GOMOR@ICLOUD.COM,2013-08-17 02:30:05,I,29
C0116,CELIA VERDÚ,1990-08-09,24 ROCK MAPLE LANE,"SANTA ANA, CA 92707",(701) 212-8508,HAUMA@GMAIL.COM,2009-06-20 07:43:02,I,34
C0117,ESPIRIDIÓN DEL VIÑAS,1983-08-19,376 SOUTH GRIFFIN STREET,"LANCASTER, CA 93535",(714) 278-0966,GODEKE@YAHOO.CA,2020-04-11 09:58:47,E,41
C0118,MELANIA LOBATO-MENA,1983-04-01,7172 HALIFAX ST.,"HUNTINGTON BEACH, CA 92647",(523) 677-7026,JDHEDDEN@MAC.COM,2020-11-20 16:36:00,I,41
C0119,SOSIMO ROIG BAYO,1988-04-26,9530 HOMEWOOD ST.,"PALMDALE, CA 93550",(615) 522-3616,TBECK@GMAIL.COM,2011-04-10 21:26:55,I,36
C0120,ABEL CARRASCO-BELDA,1978-08-03,3 SUNSET STREET,"WATSONVILLE, CA 95076",(497) 402-3196,BRYANW@OUTLOOK.COM,2012-03-01 05:06:54,E,46
C0121,ALICIA CELESTINA IBÁÑEZ SANTANA,1989-11-26,611 LINDA RD.,"EL CAJON, CA 92021",(624) 360-5381,DRAPER@ME.COM,2020-08-16 06:41:46,I,35
C0122,CONRADO TORRE,1993-08-10,7088 SOUTH WOODLAND ST.,"SOUTH SAN FRANCISCO, CA 94080",(417) 559-0451,ANICOLAO@OPTONLINE.NET,2012-01-08 23:04:26,I,31
C0123,LEONCIO POMBO NADAL,1971-05-29,78 HAMILTON ST.,"LOS ANGELES, CA 90022",(650) 230-0049,MXIAO@COMCAST.NET,2005-11-29 07:03:12,I,53
C0124,MARCIA TOMAS,1995-11-14,7576 S. PRINCE AVE.,"COMPTON, CA 90221",(863) 238-8964,MLEARY@YAHOO.CA,2008-03-30 11:56:47,E,29
C0125,AURELIA DEL OCAÑA,1972-09-22,8678 GLEN EAGLES RD.,"LOS ANGELES, CA 90042",(340) 944-7011,LOUISE@COMCAST.NET,2015-12-14 12:17:51,E,52
C0126,PORFIRIO CASES FABREGAT,1978-12-12,7487 COLLEGE RD.,"CARMICHAEL, CA 95608",(388) 447-0349,SOLOMON@GMAIL.COM,2011-10-10 02:32:07,I,46
C0127,MARISTELA MÁRMOL,1999-10-15,8 WESTMINSTER AVE.,"ANAHEIM, CA 92805",(562) 364-8454,DGATWOOD@LIVE.COM,2011-11-18 12:20:02,I,25
C0128,LETICIA AZORIN CORTINA,1999-09-22,92 BRICKELL DRIVE,"FOUNTAIN VALLEY, CA 92708",(332) 349-8146,AUGUSTO@OUTLOOK.COM,2007-06-26 05:48:58,I,25
C0129,RÉGULO DE SACRISTÁN,1975-08-20,503 DELAWARE STREET,"SAN JOSE, CA 95123",(286) 718-4373,RAFASGJ@MSN.COM,2020-11-11 14:33:12,I,49
C0130,ESTEBAN DEL MÚÑIZ,1973-09-03,34 ANDERSON AVE.,"LOS ANGELES, CA 90037",(397) 693-0198,SOLOMON@YAHOO.CA,2009-01-24 08:55:55,E,51
C0131,TRINIDAD EXPOSITO ABELLA,1997-03-18,8388 WATER ST.,"BAKERSFIELD, CA 93309",(874) 698-3563,KILDJEAN@AOL.COM,2013-12-18 08:07:26,I,27
C0132,PÁNFILO ORTIZ PARDO,1974-03-17,373 BRICKYARD AVENUE,"TUSTIN, CA 92780",(633) 872-7554,ANDERSBR@ATT.NET,2018-06-05 20:23:33,E,50
C0133,GLAUCO LLORENS ÁLVAREZ,1987-01-05,834 YUKON LANE,"CUPERTINO, CA 95014",(799) 691-3758,MOONLAPSE@SBCGLOBAL.NET,2010-08-30 06:43:50,I,37
C0134,SUSANITA ZARAGOZA HIGUERAS,1970-03-01,8324 SOUTH ST.,"FREMONT, CA 94538",(625) 240-8609,SCHWAANG@MAC.COM,2007-09-22 16:32:32,I,54
C0135,ILEANA ASUNCIÓN BELTRAN SAMPER,1997-12-28,8 WHITE AVE.,"BAKERSFIELD, CA 93307",(677) 815-4415,GEEKOID@YAHOO.CA,2009-11-13 05:11:21,I,27
C0136,CHUS MERINO CASAS,1971-12-11,907 INVERNESS DR.,"NORTH HILLS, CA 91343",(368) 227-4620,PLOVER@AOL.COM,2011-06-11 02:29:33,E,53
C0137,CARMINA CERVERA,1979-04-18,12 CYPRESS AVENUE,"SAN PABLO, CA 94806",(930) 420-2085,JHARDIN@HOTMAIL.COM,2007-08-05 04:56:00,I,45
C0138,CURRO COELLO IZAGUIRRE,1972-12-25,7313 BOHEMIA STREET,"SAN DIEGO, CA 92117",(883) 797-3367,JDRAY@HOTMAIL.COM,2012-10-11 06:40:47,I,52
C0139,MARIO ROLDÁN,1977-05-01,8518 HILLDALE LANE,"POMONA, CA 91766",(616) 916-4936,EUICE@OUTLOOK.COM,2019-04-29 10:45:13,I,47
C0140,JESUSA FUENTES,1999-01-06,190 SIERRA ST.,"PARAMOUNT, CA 90723",(406) 344-3322,CAMENISCH@YAHOO.CA,2008-07-04 01:49:28,I,25
C0141,ÓSCAR DOMINGUEZ MAYOL,1973-12-20,95 STUDEBAKER STREET,"ONTARIO, CA 91761",(323) 771-5959,LAMKY@HOTMAIL.COM,2019-05-19 00:20:45,I,51
C0142,ANGELINO CONTRERAS PI,1986-09-28,1 HIGHLAND AVE.,"SAN JOSE, CA 95122",(898) 732-6602,ALASTAIR@ATT.NET,2015-12-03 20:18:35,E,38
C0143,RAFA CAMINO PERELLÓ,1994-10-28,5 WEST HENRY SMITH STREET,"SAN FRANCISCO, CA 94110",(551) 404-1539,BRITISH@COMCAST.NET,2014-07-06 17:00:33,E,30
C0144,AURA VIDAL-ROMA,1987-11-03,940 E. PRIMROSE AVE.,"LAGUNA NIGUEL, CA 92677",(488) 349-4237,RDDESIGN@ICLOUD.COM,2013-09-19 06:38:40,I,37
C0145,LARA JORDANA BALLESTER LLADÓ,1974-08-13,8304 VAN DYKE AVENUE,"SANTA ANA, CA 92703",(296) 444-2189,HECKERMAN@ME.COM,2005-02-18 08:08:17,E,50
C0146,ANÍBAL CASTELLÓ SARABIA,1992-03-04,86 BRADFORD RD.,"SAN FRANCISCO, CA 94112",(988) 961-4637,RASCA@VERIZON.NET,2006-06-18 18:16:39,E,32
C0147,ADRIANA HIGUERAS RIBES,1980-05-07,3 JEFFERSON DR.,"VAN NUYS, CA 91406",(486) 549-5020,WILLG@SBCGLOBAL.NET,2020-05-30 17:54:01,E,44
